price,Комнатность,Площадь квартиры,Жилая площадь,Площадь кухни,Этаж,Санузел,Кол-во санузлов,Ремонт,Мебель,Вид из окна,Серия дома,Лифт,Материал стен,Отопление,Парковка,,Высота потолков,Балкон/лоджия,Отделка,Срок сдачи,Тип жилья,Кондиционер,Кухонная мебель,Временная эпоха,Год постройки,Интернет,Вид из окон,Реновация,Территория,Холодильник,Стиральная машина,Телевизор,Посудомойка,Консьерж
21832101,1-комнатная,"38,7 м²","23,1 м²",,8 из 23,,,,,,,есть,кирпич-монолит,,закрытая,,"3,3 м",,без отделки,2 кв. 2027 г.,,,,,,,,,,,,,,
9800000,1-комнатная,"38,7 м²",20 м²,8 м²,9 из 14,раздельный,1,Хороший,есть,на улицу,П-46,есть,панель,центральное,закрытая,Спортивная площадка,"2,64 м",,,,,,,,,,,,,,,,,
8500000,1-комнатная,"38,7 м²","20,8 м²","8,5 м²",9 из 14,раздельный,1,Нужен ремонт,есть,на улицу,П-46,есть,панель,центральное,закрытая,Спортивная площадка,,,,,,,,,,,,,,,,,,
11850000,1-комнатная,"38,7 м²","18,8 м²","9,6 м²",9 из 17,совмещённый,1,Хороший,есть,во двор,П-44К,есть,панель,центральное,,Спортивная площадка,"2,67 м",есть,,,,,,,2013,,,,,,,,,
9200000,1-комнатная,"38,8 м²",20 м²,"8,6 м²",1 из 4,раздельный,1,Нужен ремонт,,во двор,П-46м,есть,панель,центральное,закрытая,Хорошая школа,"2,65 м",,,,,,,,,,,,,,,,,
10600000,1-комнатная,"38,8 м²",20 м²,"12,6 м²",12 из 16,раздельный,1,Хороший,,во двор,И-522,есть,блок,центральное,,Хорошая школа,"2,6 м",,,,,,,,,,,,,,,,,
15096424,1-комнатная,"38,8 м²","11,9 м²",,12 из 49,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
15183654,1-комнатная,"38,8 м²","11,9 м²",,14 из 49,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
14500000,1-комнатная,"38,8 м²",20 м²,10 м²,16 из 22,раздельный,1,Евро,есть,на улицу,КОПЭ,есть,панель,центральное,закрытая,Спортивная площадка,"2,7 м",,,,,,,,,,,,,,,,,
18908326,1-комнатная,"38,8 м²","24,5 м²","5,1 м²",16 из 27,,,,,,,есть,монолит,,закрытая,,"2,92 м",,без отделки,4 кв. 2027 г.,,,,,,,,,,,,,,
11800000,1-комнатная,"38,8 м²","20,1 м²",8 м²,17 из 22,раздельный,1,Хороший,,на улицу,КОПЭ,есть,панель,центральное,закрытая,Хорошие школы,"2,64 м",,,,,,,,,,,,,,,,,
15061462,1-комнатная,"38,8 м²","16,7 м²","11,4 м²",2 из 8,,,,,,,,монолит,,,,3 м,,без отделки,2026 г.,,,,,,,,,,,,,,
19032525,1-комнатная,"38,8 м²","24,5 м²","5,1 м²",20 из 27,,,,,,,есть,монолит,,закрытая,,"2,92 м",,без отделки,4 кв. 2027 г.,,,,,,,,,,,,,,
19186832,1-комнатная,"38,8 м²","24,5 м²","5,1 м²",25 из 27,,,,,,,есть,монолит,,закрытая,,"2,92 м",,без отделки,4 кв. 2027 г.,,,,,,,,,,,,,,
9800000,1-комнатная,"38,8 м²","20,9 м²","8,6 м²",3 из 12,раздельный,1,,,на улицу,П-46,есть,панель,центральное,,,"2,8 м",есть,,,,,,,,,,,,,,,,
9800000,1-комнатная,"38,8 м²","20,6 м²","8,6 м²",3 из 12,раздельный,1,Нужен ремонт,,во двор,П-46,есть,панель,центральное,закрытая,,"2,75 м",есть,,,,,,,,,,,,,,,,
20073879,1-комнатная,"38,8 м²","12,6 м²",,34 из 53,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2025 г.,,,,,,,,,,,,,,
16100000,1-комнатная,"38,8 м²",19 м²,10 м²,5 из 16,совмещённый,1,,,на улицу,П-3,есть,панель,центральное,,Фитнес клуб,,есть,,,,,,,,,,,,,,,,
14500000,1-комнатная,"38,8 м²","19,1 м²","8,8 м²",5 из 17,совмещённый,1,Хороший,нет,на улицу,П-44,есть,панель,центральное,закрытая,Фитнес клуб,"2,64 м",,,,,,,,,,,,,,,,,
11500000,1-комнатная,"38,8 м²","20,9 м²","8,6 м²",7 из 12,раздельный,1,Хороший,есть,во двор,П-47,,панель,центральное,открытая,Хорошие школы,"2,64 м",есть,,,,,,брежневка,,,,,,,,,,
8197568,1-комнатная,"38,8 м²","10,9 м²","19,4 м²",9 из 10,совмещённый,1,,,,,есть,монолит,,открытая,,"2,7 м",,без отделки,3 кв. 2026 г.,,,,,,,,,,,,,,
16523427,1-комнатная,"38,8 м²","21,1 м²","11,1 м²",9 из 12,совмещённый,1,,,на улицу,,есть,монолит,центральное,закрытая,,"2,72 м",,без отделки,4 кв. 2026 г.,,,,хрущевка,,,,Подлежит реновации,закрытая,,,,,
10500000,1-комнатная,"38,9 м²","20,8 м²",9 м²,1 из 12,раздельный,1,Нужен ремонт,,во двор,П-30,есть,панель,центральное,закрытая,Хорошая школа,"2,64 м",,,,,,,брежневка,,,,,,,,,,
12200000,1-комнатная,"38,9 м²","20,9 м²","8,5 м²",10 из 12,раздельный,1,Хороший,нет,во двор,,есть,панель,,закрытая,,"2,7 м",есть,,,,,,,,,,,,,,,,
11200000,1-комнатная,"38,9 м²","19,5 м²",9 м²,10 из 14,раздельный,1,Евро,,на улицу,П-46,есть,панель,центральное,закрытая,Спортивная площадка,"2,7 м",есть,,,,,,,,,,,,,,,,
22600000,1-комнатная,"38,9 м²","14,7 м²","19,2 м²",11 из 19,совмещённый,1,Нужен ремонт,нет,на улицу,,есть,монолит,,подземная,,"3,3 м",,,,,,,,2024,,,,,,,,,
18066560,1-комнатная,"38,9 м²","21,8 м²","6,5 м²",11 из 27,,,,,,,есть,монолит,,закрытая,,"2,92 м",,без отделки,4 кв. 2027 г.,,,,,,,,,,,,,,
21373000,1-комнатная,"38,9 м²","11,7 м²","18,2 м²",11 из 47,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,без отделки,2 кв. 2027 г.,,,,,,,,,,,,,,
17018815,1-комнатная,"38,9 м²","20,7 м²","11,5 м²",12 из 12,совмещённый,1,,,на улицу,,есть,монолит,центральное,закрытая,,"2,72 м",,без отделки,4 кв. 2026 г.,,,,хрущевка,,,,Подлежит реновации,закрытая,,,,,
10050000,1-комнатная,"38,9 м²",27 м²,8 м²,12 из 16,,,,,,II-68,,панель,центральное,,Хорошие школы,,,,,,,,,,,,,,,,,,
11500000,1-комнатная,"38,9 м²","19,8 м²",8 м²,12 из 17,раздельный,1,Хороший,есть,во двор,П-44,есть,панель,центральное,закрытая,Хорошая школа,"2,74 м",,,,,,,,,,,,,,,,,
11833000,1-комнатная,"38,9 м²","18,9 м²","7,3 м²",13 из 14,совмещённый,1,Хороший,,на улицу,П-44Т,есть,панель,центральное,закрытая,Фитнес клуб,"2,7 м",есть,,,,,,,,,,,,,,,,
15309721,1-комнатная,"38,9 м²",11 м²,,13 из 48,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
11700000,1-комнатная,"38,9 м²",20 м²,9 м²,14 из 14,раздельный,1,Дизайнерский,есть,на улицу,П-46,есть,панель,центральное,закрытая,Спортивная площадка,"2,7 м",,,,,,,,,,,,,,,,,
9499990,1-комнатная,"38,9 м²",21 м²,"8,6 м²",14 из 14,раздельный,1,Нужен ремонт,,на улицу,П-46,есть,панель,,закрытая,Спортивная площадка,"2,64 м",есть,,,,,,,,,,,,,,,,
23998000,1-комнатная,"38,9 м²","11,4 м²","19,2 м²",15 из 19,совмещённый,1,Нужен ремонт,,,,есть,монолит,,,,"3,3 м",,,,,,,,2024,,во двор и на улицу,,,,,,,
10800000,1-комнатная,"38,9 м²","20,7 м²","8,6 м²",2 из 12,совмещённый,1,Хороший,нет,во двор,П-47,есть,панель,центральное,закрытая,Хорошая школа,,,,,,,,брежневка,,,,,,,,,,
17753376,1-комнатная,"38,9 м²","21,8 м²","6,5 м²",2 из 27,,,,,,,есть,монолит,,закрытая,,"2,92 м",,без отделки,4 кв. 2027 г.,,,,,,,,,,,,,,
9104790,1-комнатная,"38,9 м²","10,5 м²","19,3 м²",2 из 9,совмещённый,1,,,,,есть,монолит,,открытая,,"2,7 м",есть,без отделки,3 кв. 2025 г.,,,,,,,,,,,,,,
15618905,1-комнатная,"38,9 м²",11 м²,,20 из 48,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
21679170,1-комнатная,"38,9 м²","11,7 м²","18,2 м²",21 из 47,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,без отделки,2 кв. 2027 г.,,,,,,,,,,,,,,
26407706,1-комнатная,"38,9 м²",12 м²,18 м²,25 из 46,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,чистовая,2 кв. 2027 г.,,,,,,,,,,,,,,
15300000,1-комнатная,"38,9 м²","20,9 м²",9 м²,3 из 14,раздельный,1,Дизайнерский,есть,во двор,П-55,есть,панель,центральное,закрытая,Хорошая школа,"2,64 м",,,,,,,,,,,,,,,,,
21896392,1-комнатная,"38,9 м²","25,7 м²",,3 из 23,,,,,,,есть,кирпич-монолит,,закрытая,,"3,3 м",,без отделки,2 кв. 2027 г.,,,,,,,,,,,,,,
9598677,1-комнатная,"38,9 м²","10,5 м²","19,3 м²",3 из 9,совмещённый,1,,,,,есть,монолит,,открытая,,"2,7 м",есть,,4 кв. 2025 г.,,,,,,,,,,,,,,
12500000,1-комнатная,"38,9 м²","17,6 м²",11 м²,4 из 25,,,,,,И-155,,панель,центральное,,Фитнес клуб,,,,,,,,,,,,,,,,,,
21795788,1-комнатная,"38,9 м²","24,7 м²","5,1 м²",45 из 55,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,без отделки,3 кв. 2026 г.,,,,,,,,,,,,,,
21835081,1-комнатная,"38,9 м²","24,7 м²","5,1 м²",46 из 55,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,без отделки,3 кв. 2026 г.,,,,,,,,,,,,,,
12300000,1-комнатная,"38,9 м²",17 м²,14 м²,5 из 22,раздельный,1,Евро,есть,во двор,C-222,есть,,центральное,подземная,Спортивная площадка,"2,75 м",есть,,,,,,,,,,,,,,,,
17843935,1-комнатная,"38,9 м²","21,8 м²","6,5 м²",5 из 27,,,,,,,есть,монолит,,закрытая,,"2,92 м",,без отделки,4 кв. 2027 г.,,,,,,,,,,,,,,
21996182,1-комнатная,"38,9 м²","11,1 м²","18,7 м²",51 из 55,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,без отделки,3 кв. 2026 г.,,,,,,,,,,,,,,
11500000,1-комнатная,"38,9 м²","20,9 м²","8,5 м²",6 из 14,раздельный,1,Хороший,,во двор,П-46,есть,панель,центральное,,,"2,75 м",есть,,,,,,,,,,,,,,,,
20233023,1-комнатная,"38,9 м²",,,6 из 15,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2026 г.,,,,,,,,,,,,,,
22320191,1-комнатная,"38,9 м²",12 м²,18 м²,6 из 46,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,без отделки,2 кв. 2027 г.,,,,,,,,,,,,,,
21212065,1-комнатная,"38,9 м²","11,7 м²","18,2 м²",6 из 47,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,без отделки,2 кв. 2027 г.,,,,,,,,,,,,,,
8848765,1-комнатная,"38,9 м²","10,5 м²","19,3 м²",6 из 9,совмещённый,1,,,,,есть,монолит,,открытая,,"2,7 м",есть,без отделки,4 кв. 2025 г.,,,,,,,,,,,,,,
12800000,1-комнатная,"38,9 м²",21 м²,"8,6 м²",7 из 14,раздельный,1,Евро,,на улицу,П-46,есть,панель,центральное,закрытая,Хорошая школа,"2,64 м",есть,,,,,,,,,,,,,,,,
16200000,1-комнатная,"38,9 м²",20 м²,10 м²,7 из 22,раздельный,1,Евро,есть,на улицу,КОПЭ,есть,панель,центральное,закрытая,Спортивная площадка,"2,7 м",,,,,,,,,,,,,,,,,
14900000,1-комнатная,"38,9 м²","20,9 м²","8,6 м²",8 из 12,раздельный,1,Евро,есть,во двор,П-46,есть,,центральное,,Хорошая школа,"2,8 м",есть,,,,,,,,,,,,,,,,
11700000,1-комнатная,"38,9 м²","20,9 м²","8,6 м²",8 из 12,раздельный,1,Хороший,,во двор,П-46,есть,панель,центральное,закрытая,Хорошая школа,"2,7 м",есть,,,,,,брежневка,,,,,,,,,,
11700000,1-комнатная,"38,9 м²","20,9 м²","8,6 м²",8 из 12,раздельный,1,,,во двор,П-46,есть,панель,центральное,,Хорошая школа,"2,7 м",есть,,,,,,брежневка,,,,,,,,,,
25774927,1-комнатная,"38,9 м²",12 м²,18 м²,8 из 46,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,чистовая,2 кв. 2027 г.,,,,,,,,,,,,,,
8897057,1-комнатная,"38,9 м²","10,5 м²","19,3 м²",8 из 9,совмещённый,1,,,,,есть,монолит,,открытая,,"2,7 м",есть,без отделки,4 кв. 2025 г.,,,,,,,,,,,,,,
25818161,1-комнатная,"38,9 м²",12 м²,18 м²,9 из 46,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,чистовая,2 кв. 2027 г.,,,,,,,,,,,,,,
10300000,1-комнатная,38 м²,19 м²,8 м²,1 из 12,совмещённый,1,Хороший,,во двор,II-18,есть,блок,,закрытая,,"2,64 м",,,,,,,брежневка,,,,,,,,,,
9900000,1-комнатная,38 м²,"19,1 м²","9,5 м²",1 из 14,совмещённый,1,,есть,во двор,И-209А,есть,панель,центральное,,,"2,5 м",есть,,,,,есть,брежневка,,,,,,есть,есть,,,
9700000,1-комнатная,38 м²,20 м²,8 м²,1 из 14,совмещённый,1,Хороший,,на улицу,И-209А,есть,блок,,закрытая,Хорошая школа,"2,64 м",,,,,,,брежневка,,,,,,,,,,
