price,Комнатность,Площадь квартиры,Этаж,Отделка,Вид из окна,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Жилая площадь,Площадь кухни,Кол-во санузлов,Балкон/лоджия,Санузел,Ремонт,Мебель,Кухонная мебель,Отопление,,Тип жилья,Год постройки,Консьерж,Территория,Вид из окон,Временная эпоха,Серия дома,Кондиционер,Реновация,Посудомойка,Холодильник,Интернет,Телевизор,Стиральная машина
35000000,4-комнатная,100 м²,9 из 22,,,,"2,7 м",есть,панель,открытая,64 м²,10 м²,2,,,Дизайнерский,есть,есть,центральное,Хорошая школа,,,,,во двор и на улицу,,КОПЭ,есть,,,,,,
43500000,4-комнатная,"101,3 м²",8 из 21,,,,3 м,есть,кирпич-монолит,подземная,"29,1 м²","10,5 м²",4,есть,,Нужен ремонт,,,,,,2021,,,во двор и на улицу,,,,,,,,,
44519175,4-комнатная,"101,7 м²",41 из 45,предчистовая,на улицу,1 кв. 2028 г.,3 м,есть,кирпич-монолит,закрытая,"68,4 м²",,1,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
64000000,4-комнатная,101 м²,17 из 53,,,,"3,15 м",есть,монолит,подземная,60 м²,31 м²,2,,,Дизайнерский,есть,есть,,,,2022,,,во двор и на улицу,,,есть,,,,,,
39000000,4-комнатная,101 м²,31 из 52,,на улицу,,"3,1 м",есть,монолит,подземная,50 м²,25 м²,1,,совмещённый,Черновая отделка,,,,,,2024,,,,,,есть,,,,,,
51900000,4-комнатная,101 м²,41 из 41,,,,"3,6 м",есть,монолит,подземная,65 м²,22 м²,3,есть,раздельный,Нужен ремонт,,,,,,2023,,,во двор и на улицу,,,,,,,,,
39249399,4-комнатная,"102,2 м²",25 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,,,,,,,,,,Спортивная площадка,,,,,,,,,,,,,,
39312763,4-комнатная,"102,2 м²",26 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,"38,3 м²","35,6 м²",3,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
39376638,4-комнатная,"102,2 м²",27 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,,,,,,,,,,Спортивная площадка,,,,,,,,,,,,,,
82960751,4-комнатная,"102,3 м²",11 из 11,без отделки,во двор,4 кв. 2025 г.,"6,3 м",есть,монолит,закрытая,"44,3 м²","20,4 м²",2,,,,,,,Хорошая школа,,,,закрытая,,,,,,,,,,
57574331,4-комнатная,"102,6 м²",33 из 37,предчистовая,во двор,1 кв. 2025 г.,3 м,,монолит,закрытая,"71,2 м²","7,2 м²",2,,,,,,центральное,,,,,закрытая,,хрущевка,,,Подлежит реновации,,,,,
41089474,4-комнатная,"103,1 м²",18 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,"53,2 м²","30,2 м²",3,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
41489502,4-комнатная,"103,1 м²",24 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,"53,2 м²","30,2 м²",3,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
55000000,4-комнатная,103 м²,17 из 28,,на улицу,,3 м,есть,кирпич-монолит,подземная,50 м²,36 м²,3,,совмещённый,Нужен ремонт,,,,,,2024,,,,,,,,,,,,
41599824,4-комнатная,103 м²,26 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,"53,2 м²","30,2 м²",3,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
41583337,4-комнатная,103 м²,27 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,"53,2 м²","30,2 м²",3,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
41799721,4-комнатная,103 м²,29 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,,,,,,,,,,Спортивная площадка,,,,,,,,,,,,,,
39599380,4-комнатная,103 м²,3 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,53 м²,30 м²,3,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
39803835,4-комнатная,103 м²,6 из 29,предчистовая,во двор,2025 г.,"2,87 м",есть,кирпич-монолит,подземная,53 м²,30 м²,3,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
58608332,4-комнатная,"104,2 м²",23 из 27,предчистовая,,3 кв. 2025 г.,3 м,есть,кирпич-монолит,закрытая,"52,3 м²",,1,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
40500000,4-комнатная,104 м²,12 из 21,,,,"3,2 м",есть,монолит,,55 м²,25 м²,2,,раздельный,Нужен ремонт,,,,,апартаменты,2024,,,,,,,,,,,,
68000000,4-комнатная,104 м²,2 из 36,,,,3 м,,монолит,,60 м²,10 м²,2,,совмещённый,Дизайнерский,есть,есть,,,,2020,,,во двор и на улицу,,,есть,,,,,,
