price,Комнатность,Площадь квартиры,Жилая площадь,Этаж,Отделка,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Площадь кухни,Санузел,Кол-во санузлов,Балкон/лоджия,Серия дома,Отопление,,Тип жилья,Вид из окна,Ремонт,Вид из окон,Временная эпоха,Реновация,Территория,Год постройки,Кондиционер,Посудомойка,Холодильник,Мебель,Интернет,Кухонная мебель,Телевизор,Стиральная машина,Консьерж
12389916,2-комнатная,"55,9 м²","20,5 м²",4 из 23,,1 кв. 2025 г.,"2,6 м",есть,монолит,открытая,"19,6 м²",совмещённый,1,,,,,апартаменты,на улицу,,,,,,,,,,,,,,,
15500000,2-комнатная,"55,9 м²",40 м²,4 из 8,,,"2,64 м",,кирпич,,"6,8 м²",совмещённый,1,есть,,центральное,Хорошая школа,,,,,,,,,,,,,,,,,
15500000,2-комнатная,"55,9 м²",40 м²,4 из 8,,,"2,64 м",есть,,закрытая,"6,8 м²",совмещённый,1,есть,,центральное,Хорошая школа,,,Хороший,во двор и на улицу,,,,,,,,,,,,,
26429520,2-комнатная,"55,9 м²","36,9 м²",44 из 59,без отделки,3 кв. 2028 г.,"2,85 м",есть,кирпич-монолит,закрытая,,,,,,,,,,,,,,,,,,,,,,,,
13640265,2-комнатная,"55,9 м²","19,8 м²",9 из 23,,3 кв. 2025 г.,"2,6 м",есть,монолит,открытая,"20,9 м²",совмещённый,1,,,,,апартаменты,на улицу,,,,,,,,,,,,,,,
15990000,2-комнатная,55 м²,"30,5 м²",1 из 14,,,"2,64 м",есть,панель,,12 м²,совмещённый,1,,П-46м,центральное,,,,Евро,во двор и на улицу,,,,,есть,есть,есть,есть,есть,есть,есть,есть,
11041705,2-комнатная,55 м²,"24,4 м²",14 из 14,без отделки,4 кв. 2025 г.,"2,8 м",,монолит,открытая,"15,9 м²",раздельный,1,,,,,,,,,,,,,,,,,,,,,
21645999,2-комнатная,55 м²,19 м²,15 из 49,предчистовая,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,во двор,,,,,,,,,,,,,,,
22161590,2-комнатная,55 м²,"39,7 м²",16 из 27,без отделки,2 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"5,8 м²",,,,,,,,,,,,,,,,,,,,,,,
13398496,2-комнатная,55 м²,"25,8 м²",17 из 23,,1 кв. 2025 г.,"2,6 м",есть,монолит,открытая,"12,6 м²",совмещённый,1,,,,,апартаменты,на улицу,,,,,,,,,,,,,,,
